Date : 2026-05-20 18:57:30
Directory : e:\qt_project\SyncCanvas
Total : 148 files,  12561 codes, 1639 comments, 2441 blanks, all 16641 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\HttpConnection.h         | C++        |         91 |         11 |         10 |        112 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\LogicGrpcClient.h        | C++        |         33 |          1 |          6 |         40 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\LogicSystem.h            | C++        |         31 |          0 |          7 |         38 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\RedisMgr.h               | C++        |         26 |          3 |          9 |         38 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\Singleton.h              | C++        |         31 |          9 |          5 |         45 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\VerifyGrpcClient.h       | C++        |         59 |          1 |         17 |         77 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\const.h                  | C++        |         29 |         17 |          7 |         53 |
| e:\qt_project\SyncCanvas\GateServer\src\AsioIOServicePool.cpp                   | C++        |         42 |          8 |          7 |         57 |
| e:\qt_project\SyncCanvas\GateServer\src\CServer.cpp                             | C++        |         31 |          6 |          7 |         44 |
| e:\qt_project\SyncCanvas\GateServer\src\ConfigMgr.cpp                           | C++        |         40 |          3 |          4 |         47 |
| e:\qt_project\SyncCanvas\GateServer\src\GateServer.cpp                          | C++        |         39 |          7 |          5 |         51 |
| e:\qt_project\SyncCanvas\GateServer\src\HttpConnection.cpp                      | C++        |        147 |          8 |          9 |        164 |
| e:\qt_project\SyncCanvas\GateServer\src\LogicGrpcClient.cpp                     | C++        |         78 |         18 |         12 |        108 |
| e:\qt_project\SyncCanvas\GateServer\src\LogicSystem.cpp                         | C++        |        366 |         40 |         58 |        464 |
| e:\qt_project\SyncCanvas\GateServer\src\RedisMgr.cpp                            | C++        |        163 |         17 |         15 |        195 |
